station_mac,manufacturer,bssid,avg_power,total_packets
DA:A1:19:90:B6:9E,NA,(not associated),-67,186
70:66:55:D0:B6:C7,AzureWave Technology Inc.,E8:28:C1:DC:C6:B2,-83,184
BC:F1:71:D5:47:FB,Intel Corporate,(not associated),-51,184
BC:F1:71:D4:DA:DC,Intel Corporate,(not associated),-59,181
BC:F1:71:D6:10:CD,Intel Corporate,(not associated),-57,181
10:51:07:FE:77:BB,Intel Corporate,(not associated),-57,179
BC:F1:71:D5:47:C9,Intel Corporate,(not associated),-51,173
BC:F1:71:D5:13:08,Intel Corporate,(not associated),-43,165
BC:F1:71:D5:23:2F,Intel Corporate,(not associated),-53,165
C2:00:87:F0:8C:37,NA,(not associated),-59,165
68:54:5A:40:35:9E,Intel Corporate,1E:93:E3:1B:3C:F4,-31,163
5C:10:C5:EE:AB:7F,"Samsung Electronics Co.,Ltd",(not associated),-65,161
58:6C:25:9E:61:DC,Intel Corporate,3A:70:96:C6:30:2C,-42,158
28:7F:CF:23:25:53,Intel Corporate,9A:75:A8:B9:04:1E,-37,156
BC:F1:71:D5:13:53,Intel Corporate,(not associated),-57,155
BC:F1:71:D4:D6:6D,Intel Corporate,(not associated),-61,154
DA:A1:19:46:57:C1,NA,(not associated),-65,147
06:F2:A9:C1:8D:09,NA,E8:28:C1:DC:B2:52,-73,142
98:F6:21:30:3D:31,Xiaomi Communications Co Ltd,E8:28:C1:DC:C6:B2,-63,142
BC:F1:71:D5:E0:26,Intel Corporate,(not associated),-55,140
0A:94:58:8C:3A:7E,NA,(not associated),-45,138
5E:54:01:D6:05:1C,NA,E8:28:C1:DE:74:32,-45,135
48:2C:A0:74:B7:12,Xiaomi Communications Co Ltd,E8:28:C1:DC:B2:40,-82,134
DA:A1:19:36:3F:C3,NA,(not associated),-63,132
70:66:55:D0:B7:0F,AzureWave Technology Inc.,(not associated),-63,128
A0:E7:0B:AE:D5:44,Intel Corporate,0A:C5:E1:DB:17:7B,-37,125
48:68:4A:93:DF:B4,Intel Corporate,1E:93:E3:1B:3C:F4,-48,122
8C:55:4A:DE:F2:38,Intel Corporate,8A:A3:03:73:52:08,-65,117
56:14:6C:F1:A5:9E,NA,E8:28:C1:DC:F0:90,-57,116
8A:A3:5A:33:76:57,NA,00:25:00:FF:94:73,-74,115
BC:F1:71:D4:DB:09,Intel Corporate,(not associated),-57,115
D6:2E:8B:1F:9C:4E,NA,(not associated),-5,115
42:C7:F5:C1:59:B0,NA,00:26:99:F2:7A:E2,-67,114
4C:E0:DB:0B:F8:C2,Xiaomi Communications Co Ltd,E8:28:C1:DC:C6:B2,-61,114
BC:F1:71:D5:12:8B,Intel Corporate,(not associated),-65,114
06:7A:BA:E6:9F:FA,NA,8E:55:4A:85:5B:01,-51,98
72:7D:FC:1F:85:98,NA,(not associated),-59,98
B2:EA:7E:FA:01:3B,NA,(not associated),-43,93
DC:16:B2:6C:D0:95,"HUAWEI TECHNOLOGIES CO.,LTD",(not associated),-67,93
50:3E:AA:5F:AB:23,"TP-LINK TECHNOLOGIES CO.,LTD.",00:26:99:BA:75:80,-61,90
F0:67:28:61:26:6B,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",E8:28:C1:DC:B2:52,-67,89
10:51:07:FF:A4:A6,Intel Corporate,(not associated),-47,88
3C:13:5A:B5:DA:C0,Xiaomi Communications Co Ltd,(not associated),-51,87
A4:02:B9:77:C4:28,Intel Corporate,(not associated),-59,84
9C:A3:A9:D6:28:3C,"Guangzhou Juan Optical and Electronical Tech Joint Stock Co., Ltd",08:3A:2F:56:35:FE,-82,79
DA:A1:19:0D:83:19,NA,(not associated),-57,78
4A:C9:28:46:EE:3F,NA,0C:80:63:A9:6E:EE,-65,77
34:7D:F6:95:25:E5,Intel Corporate,BE:F1:71:D5:0E:53,-43,76
1C:BF:C0:2D:7D:B5,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",(not associated),-65,73
AC:D1:B8:FE:25:87,"Hon Hai Precision Ind. Co.,Ltd.",(not associated),-67,72
C0:E7:BF:06:FC:9E,"Sichuan AI-Link Technology Co., Ltd.",(not associated),-57,72
4C:44:5B:14:76:E3,Intel Corporate,E8:28:C1:DD:04:52,-1,71
8E:E2:00:75:CF:F6,NA,(not associated),-63,71
22:10:2A:02:9A:3D,NA,(not associated),-67,70
5E:6A:6B:8E:C6:4B,NA,00:25:00:FF:94:73,-64,70
D2:4E:C6:AA:CA:5F,NA,E8:28:C1:DC:B2:52,-71,70
D4:54:8B:8F:56:E7,Intel Corporate,56:C5:2B:9F:84:90,-49,69
02:01:5B:41:E9:B3,NA,E8:28:C1:DC:FF:F2,-75,66
1C:BF:C0:2B:EA:97,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",E8:28:C1:DD:04:50,-71,66
9E:A3:A9:D6:28:3C,NA,08:3A:2F:56:35:FE,-61,65
50:3E:AA:34:2F:0F,"TP-LINK TECHNOLOGIES CO.,LTD.",(not associated),-69,62
3E:C6:33:9F:FB:09,NA,(not associated),-55,61
FA:2A:CD:85:24:5F,NA,E8:28:C1:DD:04:52,-65,61
C6:D1:E8:6A:1C:C3,NA,00:26:99:BA:75:80,-67,60
FE:41:FA:9D:14:B7,NA,(not associated),-57,60
48:74:12:82:D7:91,"OnePlus Technology (Shenzhen) Co., Ltd",E8:28:C1:DC:B2:52,-69,55
10:51:07:FF:1F:5E,Intel Corporate,(not associated),-63,54
42:5E:24:27:71:03,NA,00:23:EB:E3:49:31,-53,52
0C:E4:41:E8:C3:6E,"Apple, Inc.",96:FF:FC:91:EF:64,-86,48
4A:AE:F2:C9:D3:5B,NA,00:25:00:FF:94:73,-72,47
52:63:E0:44:D2:E3,NA,E8:28:C1:DD:04:52,-23,47
94:08:53:3E:7A:09,Liteon Technology Corporation,7E:3A:10:A7:59:4E,-69,45
BC:F1:71:4A:20:8B,Intel Corporate,92:F5:7B:43:0B:69,-84,44
AC:5F:3E:2F:D7:8D,SAMSUNG ELECTRO-MECHANICS(THAILAND),B6:C4:55:B5:53:24,-69,43
36:B7:23:1E:F8:3E,NA,00:25:00:FF:94:73,-74,40
D4:9C:DD:EA:B9:1E,"AMPAK Technology,Inc.",(not associated),-63,40
9A:B0:D7:8A:5B:94,NA,(not associated),-67,38
3C:13:5A:2D:6A:B1,Xiaomi Communications Co Ltd,(not associated),-51,37
92:5B:0A:A2:D6:1B,NA,E0:D9:E3:49:04:41,-87,37
2E:A4:EC:34:8A:8C,NA,(not associated),-53,36
42:B4:2E:80:E8:4D,NA,8E:55:4A:85:5B:01,-51,35
50:C2:E8:0A:D9:5F,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,36:46:53:81:12:A0,-57,35
F6:96:2D:85:19:81,NA,E8:28:C1:DC:54:B2,-61,35
16:BA:0E:97:29:A4,NA,8E:55:4A:85:5B:01,-51,34
22:E1:8F:6E:46:EC,NA,(not associated),-73,34
F4:30:8B:D5:BF:32,Xiaomi Communications Co Ltd,(not associated),-59,34
FE:45:C8:36:B9:1D,NA,00:25:00:FF:94:73,-70,34
06:FA:A2:C8:11:E4,NA,00:25:00:FF:94:73,-68,33
0A:1D:E5:38:93:14,NA,(not associated),-65,32
8C:55:4A:E2:25:ED,Intel Corporate,(not associated),-65,32
A4:02:B9:73:2C:6F,Intel Corporate,(not associated),-73,32
10:51:07:FF:A4:97,Intel Corporate,(not associated),-47,31
8A:E8:C5:3D:A3:10,NA,E8:28:C1:DC:C6:B2,-67,31
8E:DF:CD:99:91:39,NA,(not associated),-53,31
C6:ED:8B:09:03:95,NA,(not associated),-57,31
1A:E3:05:F5:C7:B5,NA,E8:28:C1:DC:3C:92,-61,30
1E:4C:B2:B1:35:B2,NA,(not associated),-61,30
4E:5B:A8:77:C2:DF,NA,(not associated),-55,30
56:AC:48:E5:9D:A3,NA,(not associated),-47,30
10:51:07:FF:1E:BE,Intel Corporate,(not associated),-67,29
9A:7D:CE:C9:0A:DF,NA,00:26:99:BA:75:80,-59,29
2A:2C:2C:AB:65:80,NA,00:26:99:F2:7A:E2,-67,28
52:40:87:69:2B:55,NA,(not associated),-67,28
A4:02:B9:73:81:92,Intel Corporate,(not associated),-65,28
C6:49:D0:8D:CF:6C,NA,00:26:99:F2:7A:E1,-59,28
DA:A1:19:90:B9:74,NA,(not associated),-69,28
7A:23:04:0C:DA:EA,NA,(not associated),-49,27
AA:BF:12:D8:F7:3E,NA,(not associated),-65,27
02:69:A5:29:F1:3E,NA,1E:93:E3:1B:3C:F4,-49,26
10:51:07:FF:A4:9C,Intel Corporate,(not associated),-65,26
2A:BF:50:E5:74:84,NA,AA:F4:3F:EE:49:0B,-55,26
3A:73:72:E5:E6:78,NA,(not associated),-51,25
52:72:29:9B:E1:43,NA,(not associated),-61,25
8E:D5:7D:BB:E3:DA,NA,(not associated),-57,24
2A:9A:59:76:6E:3C,NA,(not associated),-51,23
40:74:E0:99:49:EF,Intel Corporate,0C:80:63:A9:6E:EE,-85,23
62:67:18:DE:9F:EA,NA,(not associated),-57,23
D6:88:14:E8:E8:F4,NA,A6:02:B9:73:81:47,-73,23
00:E9:3A:67:93:E9,AzureWave Technology Inc.,EA:7B:9B:D8:56:34,-73,22
10:51:07:FF:23:B4,Intel Corporate,(not associated),-69,22
12:0A:04:AE:28:40,NA,(not associated),-53,22
16:75:CC:C8:9D:67,NA,(not associated),-59,22
1A:C5:BA:F9:26:A4,NA,(not associated),-65,22
32:D4:08:4F:02:F2,NA,E8:28:C1:DC:C6:B2,-55,22
46:4D:83:5F:EA:D7,NA,(not associated),-55,22
7E:F0:F8:D8:6A:82,NA,(not associated),-63,22
A4:02:B9:73:81:47,Intel Corporate,(not associated),-67,22
B6:E6:99:E5:90:29,NA,(not associated),-53,22
F2:A9:CC:0B:EB:84,NA,(not associated),-55,22
0E:09:A7:4B:6B:65,NA,(not associated),-53,21
