station_mac,manufacturer,bssid,avg_power,total_packets
8E:5F:23:69:81:EB,NA,(not associated),-63,6
8E:AB:CC:B3:7B:0A,NA,(not associated),-57,6
8E:ED:EB:E9:8E:2F,NA,(not associated),-59,6
92:02:1B:9A:E6:C1,NA,(not associated),-63,6
92:41:66:70:A4:12,NA,(not associated),-51,6
92:83:81:BA:F0:6B,NA,(not associated),-53,6
92:8C:E0:EC:0C:23,NA,(not associated),-53,6
92:AD:23:D0:77:D9,NA,(not associated),-55,6
92:AF:E0:0B:A7:10,NA,(not associated),-59,6
92:EB:7A:60:0C:E5,NA,(not associated),-63,6
96:45:2C:3B:EE:10,NA,(not associated),-57,6
96:5D:6C:91:1A:36,NA,(not associated),-57,6
96:C5:4C:47:F4:DC,NA,(not associated),-69,6
96:E2:11:0E:07:C6,NA,(not associated),-59,6
96:ED:67:A0:FD:C0,NA,(not associated),-57,6
9A:10:72:33:0C:96,NA,(not associated),-53,6
9A:2F:1F:F2:86:A0,NA,(not associated),-57,6
9A:6E:B2:41:09:94,NA,(not associated),-55,6
9A:8B:21:79:46:7B,NA,(not associated),-59,6
9A:FD:94:1C:66:A9,NA,(not associated),-57,6
9E:26:D6:08:6E:89,NA,(not associated),-51,6
9E:3E:93:9D:D0:4E,NA,(not associated),-65,6
9E:5B:DE:BA:52:91,NA,(not associated),-57,6
9E:90:24:90:1B:6E,NA,(not associated),-51,6
9E:C0:18:4E:F4:58,NA,(not associated),-63,6
A2:08:0F:A5:5D:AB,NA,(not associated),-55,6
A2:92:73:46:DF:5B,NA,(not associated),-55,6
A2:D4:67:90:86:25,NA,(not associated),-53,6
A4:02:B9:73:2D:A0,Intel Corporate,(not associated),-67,6
A6:43:AC:B4:B9:EB,NA,(not associated),-55,6
A6:57:BC:8F:94:0C,NA,(not associated),-51,6
A6:BD:2C:84:B8:C8,NA,(not associated),-74,6
A6:CD:D7:AE:18:0B,NA,(not associated),-55,6
A6:D7:86:19:66:CF,NA,(not associated),-53,6
AA:2E:3B:EB:AF:BB,NA,(not associated),-61,6
AA:B5:6E:02:6F:DE,NA,(not associated),-53,6
AE:13:54:F9:EE:96,NA,(not associated),-61,6
AE:35:E1:AF:01:14,NA,(not associated),-57,6
AE:8E:39:49:18:7C,NA,(not associated),-53,6
AE:E4:E6:FE:85:05,NA,(not associated),-55,6
B2:2F:39:81:AD:DC,NA,(not associated),-80,6
B2:65:5D:DF:00:54,NA,(not associated),-57,6
B2:87:B3:97:FC:46,NA,(not associated),-55,6
B2:E4:46:AF:60:40,NA,(not associated),-55,6
B6:01:E0:3F:FE:26,NA,(not associated),-55,6
B6:B3:4D:81:F2:E2,NA,(not associated),-53,6
B6:D7:A2:5E:AF:AD,NA,(not associated),-35,6
BA:2C:61:7F:3E:0D,NA,(not associated),-47,6
BA:5D:D6:A4:43:D6,NA,(not associated),-63,6
BA:8B:FE:DF:56:D4,NA,(not associated),-53,6
BA:9C:D5:26:B3:1E,NA,(not associated),-53,6
BA:BD:C4:BD:12:A3,NA,(not associated),-51,6
BA:BE:43:50:52:8B,NA,(not associated),-55,6
BE:26:18:3B:31:8E,NA,(not associated),-63,6
BE:2A:41:37:15:52,NA,(not associated),-59,6
BE:4E:42:D0:BC:F1,NA,(not associated),-55,6
BE:68:FB:51:65:F0,NA,(not associated),-64,6
BE:F4:61:5A:6A:73,NA,(not associated),-61,6
C2:04:EF:65:05:E7,NA,(not associated),-43,6
C2:30:32:F7:09:9D,NA,(not associated),-51,6
C2:4F:20:F1:A2:EF,NA,(not associated),-59,6
C2:5A:9B:9B:74:17,NA,(not associated),-55,6
C2:70:BF:2F:95:52,NA,(not associated),-51,6
C2:88:40:63:BE:C5,NA,(not associated),-31,6
C6:77:25:75:D8:92,NA,(not associated),-57,6
C6:A7:77:06:52:7D,NA,(not associated),-55,6
C6:A8:A2:44:E1:E6,NA,(not associated),-55,6
CA:68:EE:2D:6C:75,NA,(not associated),-61,6
CA:6A:72:0A:16:56,NA,(not associated),-57,6
CA:9C:CD:DD:0D:DC,NA,(not associated),-43,6
CA:A6:5D:55:EB:80,NA,(not associated),-57,6
CA:C1:2B:20:1B:85,NA,(not associated),-55,6
CA:E6:DB:64:24:4B,NA,(not associated),-49,6
CE:3D:3C:B9:1B:EF,NA,(not associated),-31,6
CE:40:F4:E5:22:94,NA,(not associated),-53,6
CE:7F:49:FF:A9:01,NA,(not associated),-61,6
CE:98:95:65:BE:E9,NA,(not associated),-69,6
CE:A1:8D:69:D2:3A,NA,(not associated),-71,6
CE:E7:6A:C6:E0:F8,NA,(not associated),-67,6
D2:3D:7F:A9:34:C5,NA,(not associated),-63,6
D2:A5:53:AE:74:A1,NA,(not associated),-51,6
D2:BF:E3:B2:1D:DE,NA,(not associated),-59,6
D2:DC:56:66:87:CE,NA,(not associated),-43,6
D6:33:3B:37:85:BC,NA,(not associated),-57,6
D6:7C:7D:61:3B:3C,NA,(not associated),-57,6
D6:C4:D5:B2:CA:E2,NA,(not associated),-61,6
DA:25:F1:AE:E0:A0,NA,(not associated),-57,6
DA:43:2B:89:76:EE,NA,(not associated),-53,6
DA:45:20:87:7F:A3,NA,(not associated),-51,6
DA:87:E5:16:43:FD,NA,(not associated),-57,6
DA:A1:19:79:D2:04,NA,(not associated),-61,6
DA:A1:19:BC:EF:CC,NA,(not associated),-63,6
DC:CC:E6:7B:9B:FC,"Samsung Electronics Co.,Ltd",(not associated),-53,6
DE:15:D0:60:C2:FB,NA,(not associated),-41,6
DE:45:51:17:EB:8A,NA,(not associated),-59,6
DE:EC:76:8A:75:49,NA,(not associated),-53,6
E2:0B:82:2D:BF:DC,NA,(not associated),-67,6
E2:4D:63:C8:B8:63,NA,(not associated),-55,6
E2:4F:6C:8F:05:D4,NA,(not associated),-55,6
E6:45:97:ED:58:1C,NA,(not associated),-47,6
E6:4B:DC:DA:8C:8F,NA,(not associated),-65,6
E6:92:82:52:6D:A6,NA,(not associated),-49,6
E6:AC:CB:FF:22:E7,NA,(not associated),-27,6
E6:D1:79:3C:8F:D8,NA,(not associated),-53,6
EA:00:8D:FB:05:4E,NA,(not associated),-61,6
EA:29:42:70:89:E0,NA,(not associated),-51,6
EA:29:8E:BA:EA:04,NA,(not associated),-57,6
EA:96:E6:0A:96:8C,NA,(not associated),-63,6
EA:9E:8F:E1:B2:64,NA,(not associated),-47,6
EA:B2:11:EC:57:D5,NA,(not associated),-27,6
EA:DD:88:5C:C5:2E,NA,(not associated),-59,6
EE:05:E6:29:6F:A0,NA,(not associated),-59,6
EE:1F:56:B0:CE:38,NA,(not associated),-55,6
EE:44:38:C5:CA:91,NA,(not associated),-59,6
EE:62:EC:1B:5D:0C,NA,00:25:00:FF:94:73,-67,6
EE:80:C1:11:72:E1,NA,(not associated),-63,6
EE:A4:FD:C1:7C:CA,NA,(not associated),-57,6
F2:64:0B:C0:87:3A,NA,(not associated),-55,6
F2:90:CC:1E:6A:53,NA,(not associated),-53,6
F2:C9:82:6F:3F:3F,NA,(not associated),-51,6
F6:23:23:F3:F7:F1,NA,(not associated),-49,6
F6:2F:8A:ED:E4:3D,NA,(not associated),-49,6
F6:3E:5B:90:F7:AC,NA,(not associated),-45,6
F6:7B:04:7C:48:F6,NA,(not associated),-55,6
F6:A6:58:E9:8E:5C,NA,(not associated),-53,6
F6:A6:F4:DE:97:67,NA,(not associated),-59,6
F6:AD:F7:C7:03:3A,NA,(not associated),-61,6
F6:B7:AA:FF:D6:CC,NA,(not associated),-53,6
FA:A5:53:FE:48:F7,NA,(not associated),-57,6
FA:AC:AC:80:01:69,NA,(not associated),-51,6
FA:E0:FC:65:95:7E,NA,(not associated),-61,6
FE:41:FA:72:5C:5C,NA,(not associated),-61,6
FE:41:FA:A4:AA:1E,NA,(not associated),-61,6
FE:41:FA:D9:D3:5F,NA,(not associated),-57,6
FE:49:CD:78:47:9D,NA,(not associated),-43,6
FE:E1:A6:81:8A:9C,NA,(not associated),-57,6
02:45:72:03:4F:BB,NA,(not associated),-59,5
02:6F:1D:10:20:B5,NA,(not associated),-57,5
02:AF:78:4E:71:F3,NA,(not associated),-43,5
02:B2:DF:F6:70:B0,NA,(not associated),-59,5
06:02:3C:F1:F8:A9,NA,(not associated),-57,5
06:0F:77:22:FE:13,NA,(not associated),-43,5
06:25:A6:81:BB:5C,NA,(not associated),-47,5
06:5E:63:2A:A7:FE,NA,(not associated),-55,5
06:65:45:64:F7:C1,NA,(not associated),-41,5
06:AA:F5:4F:BF:44,NA,(not associated),-61,5
06:B5:6F:2C:5C:DB,NA,(not associated),-53,5
06:B9:5C:F0:EB:21,NA,(not associated),-53,5
06:BF:58:D9:AE:C1,NA,(not associated),-59,5
0A:00:65:60:B7:F0,NA,(not associated),-65,5
0A:36:3E:D4:66:8E,NA,(not associated),-57,5
0A:43:FC:B6:0B:B9,NA,(not associated),-59,5
0A:5F:F6:AB:22:2F,NA,(not associated),-84,5
0A:76:32:9D:AC:81,NA,(not associated),-57,5
0A:A2:88:32:62:98,NA,(not associated),-63,5
0A:B1:95:6D:5A:F8,NA,(not associated),-57,5
0A:CC:7C:86:3D:CA,NA,(not associated),-61,5
0E:0D:CE:23:9D:57,NA,(not associated),-35,5
0E:3A:1A:24:81:C0,NA,(not associated),-57,5
0E:71:D9:05:F5:91,NA,(not associated),-47,5
0E:7C:E5:35:61:4D,NA,(not associated),-59,5
0E:A9:03:9F:BF:CE,NA,(not associated),-51,5
0E:BD:B1:E1:93:1E,NA,(not associated),-47,5
0E:C6:76:A4:5D:D2,NA,(not associated),-57,5
0E:CE:CE:C9:25:65,NA,(not associated),-57,5
0E:EF:92:05:5C:11,NA,(not associated),-47,5
0E:EF:92:23:69:12,NA,(not associated),-41,5
0E:EF:92:9F:D7:DB,NA,(not associated),-47,5
12:02:D2:80:4F:82,NA,(not associated),-57,5
12:34:F1:95:BC:51,NA,(not associated),-49,5
12:66:4F:E4:25:33,NA,(not associated),-63,5
12:6B:EB:62:73:27,NA,(not associated),-57,5
12:6D:F8:6E:4B:18,NA,(not associated),-53,5
12:A9:F5:4F:77:B8,NA,(not associated),-51,5
12:C5:C6:5B:47:60,NA,(not associated),-57,5
12:EA:A0:8D:83:C0,NA,(not associated),-53,5
12:EA:A1:27:3F:16,NA,(not associated),-55,5
16:3B:F4:FD:E6:50,NA,(not associated),-69,5
16:3D:E2:69:94:82,NA,(not associated),-55,5
16:5B:2F:0C:21:4D,NA,(not associated),-59,5
16:66:FD:73:0E:90,NA,(not associated),-53,5
16:6E:56:7E:BB:0D,NA,(not associated),-57,5
16:B8:EC:68:B0:C9,NA,(not associated),-61,5
16:BD:05:95:7E:99,NA,(not associated),-53,5
16:F8:C6:8E:E6:96,NA,(not associated),-65,5
16:FA:21:22:C0:82,NA,(not associated),-63,5
1A:0E:D2:27:72:98,NA,(not associated),-55,5
1A:34:5E:7D:FB:82,NA,(not associated),-55,5
1A:7E:C2:2F:06:B0,NA,(not associated),-63,5
1A:87:40:27:C5:CD,NA,(not associated),-55,5
1A:A6:15:66:FD:19,NA,(not associated),-59,5
1A:BA:1B:13:8F:57,NA,(not associated),-59,5
1A:D2:34:71:40:1C,NA,(not associated),-59,5
1E:00:9E:DE:BB:42,NA,(not associated),-53,5
1E:44:9F:57:DE:E9,NA,(not associated),-55,5
1E:82:5D:E7:49:12,NA,(not associated),-37,5
1E:95:89:3A:88:AB,NA,(not associated),-55,5
1E:98:FE:78:EB:B5,NA,(not associated),-39,5
1E:A7:B9:FA:C9:46,NA,(not associated),-53,5
1E:AB:E6:90:EB:AA,NA,(not associated),-45,5
1E:D7:EC:8D:8E:06,NA,(not associated),-57,5
20:F4:78:D2:34:FF,Xiaomi Communications Co Ltd,12:48:F9:CF:58:8E,-67,5
22:2F:41:5D:4F:36,NA,(not associated),-51,5
22:4D:14:3C:51:CA,NA,(not associated),-51,5
22:AA:04:1C:1D:6C,NA,(not associated),-59,5
22:D1:BF:86:A5:1E,NA,(not associated),-59,5
22:E3:6E:86:FF:85,NA,(not associated),-57,5
22:F8:92:F0:3E:C7,NA,(not associated),-57,5
26:2C:A6:55:51:80,NA,(not associated),-51,5
26:A5:06:0D:AF:94,NA,(not associated),-57,5
2A:17:C8:F5:82:B8,NA,(not associated),-59,5
2A:93:57:B2:C6:E6,NA,(not associated),-59,5
2A:B9:A6:19:A9:09,NA,(not associated),-49,5
2A:C3:B9:8C:AC:82,NA,(not associated),-63,5
2A:C5:1A:60:9E:7D,NA,(not associated),-55,5
2E:32:15:16:0D:1B,NA,(not associated),-51,5
2E:33:A1:65:0E:1C,NA,(not associated),-47,5
2E:59:74:E3:64:01,NA,(not associated),-59,5
2E:5B:6D:3C:7F:7B,NA,(not associated),-47,5
2E:64:C9:E8:8F:53,NA,(not associated),-61,5
2E:7D:03:7B:76:C7,NA,(not associated),-49,5
2E:AC:06:B6:6D:62,NA,(not associated),-61,5
2E:C8:2F:A5:63:4F,NA,(not associated),-53,5
2E:D2:FA:A9:70:9E,NA,(not associated),-41,5
2E:D7:95:5C:37:87,NA,(not associated),-51,5
32:26:35:08:24:58,NA,(not associated),-67,5
32:31:43:86:17:D7,NA,(not associated),-61,5
32:64:DF:86:C3:31,NA,(not associated),-53,5
32:73:65:C8:71:F3,NA,(not associated),-59,5
32:A5:41:8A:DE:5E,NA,(not associated),-57,5
32:CE:8D:5B:F0:64,NA,(not associated),-45,5
32:D0:02:8E:90:CD,NA,(not associated),-61,5
32:D1:89:28:07:D0,NA,(not associated),-59,5
32:E8:A3:84:E6:7E,NA,(not associated),-59,5
36:2E:78:D9:33:44,NA,(not associated),-57,5
36:35:63:05:F9:23,NA,(not associated),-61,5
36:54:D0:07:4E:E5,NA,(not associated),-55,5
36:58:A5:5A:A9:5F,NA,(not associated),-55,5
36:5C:7E:46:A4:D2,NA,(not associated),-55,5
36:BB:77:9D:FF:8C,NA,(not associated),-55,5
36:D0:0C:89:91:AA,NA,(not associated),-57,5
36:D0:2A:A9:D0:6B,NA,(not associated),-57,5
36:F6:66:CB:54:31,NA,(not associated),-69,5
36:FD:62:27:9B:71,NA,(not associated),-59,5
3A:02:66:73:2D:78,NA,(not associated),-59,5
3A:79:78:83:4D:2C,NA,(not associated),-47,5
3A:95:0A:17:22:C4,NA,(not associated),-57,5
3A:A2:50:61:E1:DC,NA,(not associated),-49,5
3A:B8:09:C8:D0:6B,NA,(not associated),-53,5
3E:02:16:1C:8E:96,NA,(not associated),-55,5
3E:04:44:15:4F:5A,NA,(not associated),-57,5
3E:0C:57:A2:BF:03,NA,(not associated),-61,5
3E:3C:91:57:82:06,NA,(not associated),-53,5
3E:53:8B:35:E6:7D,NA,(not associated),-55,5
3E:67:0F:70:E8:EA,NA,(not associated),-61,5
3E:7E:A1:F4:B2:30,NA,(not associated),-57,5
3E:92:D1:2E:9A:D1,NA,(not associated),-65,5
3E:D4:D8:5F:20:36,NA,(not associated),-51,5
3E:DC:93:92:C5:2A,NA,(not associated),-53,5
42:39:A9:8B:1C:9F,NA,(not associated),-59,5
42:66:07:91:57:7C,NA,(not associated),-53,5
42:78:C5:53:D3:15,NA,(not associated),-55,5
42:83:43:DE:5A:A6,NA,(not associated),-43,5
42:D1:5B:5C:F7:8A,NA,(not associated),-51,5
42:E9:28:CA:1C:D9,NA,(not associated),-57,5
46:09:D8:31:27:D5,NA,(not associated),-57,5
46:27:A4:1E:26:F8,NA,(not associated),-65,5
46:35:9C:FA:1C:18,NA,(not associated),-51,5
46:56:6C:5E:AD:C3,NA,(not associated),-51,5
46:D4:6A:62:D7:E7,NA,(not associated),-59,5
46:DC:3E:92:E7:57,NA,(not associated),-51,5
4A:46:A2:E2:EF:AA,NA,(not associated),-53,5
4A:87:D4:83:8A:3F,NA,(not associated),-51,5
4A:F4:29:65:44:E7,NA,(not associated),-45,5
4E:05:30:03:97:F4,NA,(not associated),-55,5
4E:12:5D:D9:86:D8,NA,(not associated),-49,5
4E:29:48:BC:A8:4C,NA,(not associated),-49,5
4E:67:A9:58:C6:4A,NA,E8:28:C1:DC:C8:32,-1,5
4E:86:3D:DB:54:AD,NA,(not associated),-37,5
4E:C6:87:47:07:8A,NA,(not associated),-47,5
4E:CE:C3:D3:41:42,NA,(not associated),-45,5
52:19:D7:02:D6:78,NA,(not associated),-55,5
52:21:E1:46:1C:67,NA,(not associated),-53,5
52:32:92:4B:D3:46,NA,(not associated),-41,5
52:69:54:3F:72:E6,NA,(not associated),-51,5
56:05:9F:EB:CA:B4,NA,(not associated),-53,5
56:0C:59:AE:F3:1D,NA,86:DF:BF:E4:2F:23,-71,5
56:59:30:D8:C4:EF,NA,(not associated),-41,5
56:60:DD:23:40:21,NA,(not associated),-55,5
56:82:C8:90:E2:4B,NA,(not associated),-57,5
56:DE:D6:8C:25:E8,NA,(not associated),-55,5
5A:0C:9B:72:07:BE,NA,(not associated),-59,5
5A:10:F9:F9:B9:AA,NA,(not associated),-51,5
5A:4F:2C:8C:DC:1A,NA,(not associated),-61,5
5A:61:83:06:21:FE,NA,(not associated),-57,5
5A:9B:1A:AD:10:98,NA,(not associated),-53,5
5A:C8:FA:53:7A:19,NA,(not associated),-55,5
5A:CC:18:04:DB:2B,NA,(not associated),-53,5
5A:F9:11:06:C8:6C,NA,(not associated),-59,5
5E:20:95:F4:EF:6E,NA,(not associated),-57,5
5E:28:64:F0:79:61,NA,(not associated),-53,5
5E:34:03:D9:23:91,NA,(not associated),-73,5
5E:41:66:B4:BA:0C,NA,(not associated),-47,5
5E:68:71:39:88:78,NA,(not associated),-45,5
5E:89:D2:5D:41:09,NA,(not associated),-53,5
5E:A6:FE:49:98:7F,NA,(not associated),-61,5
5E:A7:3B:3C:E5:0E,NA,(not associated),-65,5
5E:D0:6C:96:36:5F,NA,(not associated),-61,5
5E:EB:4A:53:C6:D8,NA,(not associated),-85,5
62:06:39:4C:D1:C7,NA,(not associated),-55,5
62:13:D8:13:46:46,NA,(not associated),-55,5
62:43:79:4F:9F:25,NA,(not associated),-51,5
62:77:A7:E0:7F:FE,NA,(not associated),-57,5
62:84:20:95:FB:A5,NA,(not associated),-55,5
62:A3:EA:CF:D8:72,NA,(not associated),-59,5
66:1A:93:A9:E6:AF,NA,(not associated),-57,5
66:43:FF:78:CD:B8,NA,(not associated),-55,5
66:4F:95:6F:E5:BB,NA,(not associated),-51,5
66:89:FA:9A:76:3F,NA,(not associated),-49,5
6A:01:D9:A5:D6:2F,NA,(not associated),-49,5
6A:15:57:AB:8D:37,NA,(not associated),-51,5
6A:3C:EA:69:C9:66,NA,(not associated),-55,5
6A:3F:9E:40:70:00,NA,(not associated),-57,5
6A:65:2A:F0:03:45,NA,(not associated),-55,5
6A:7B:2C:A9:F2:EE,NA,(not associated),-59,5
6A:A2:4A:1E:2C:F0,NA,(not associated),-63,5
6A:C8:F3:B0:89:40,NA,(not associated),-57,5
6A:EF:20:92:58:B2,NA,(not associated),-55,5
6A:FA:DC:B6:3D:EC,NA,(not associated),-57,5
6E:10:75:8C:2D:01,NA,(not associated),-67,5
6E:1A:57:94:C8:F9,NA,(not associated),-55,5
6E:8E:BD:93:B2:59,NA,(not associated),-61,5
6E:AA:DE:D9:14:D8,NA,(not associated),-53,5
6E:AB:18:62:01:21,NA,(not associated),-55,5
6E:BD:8A:DB:4D:D0,NA,(not associated),-55,5
6E:CA:08:BC:AE:EE,NA,(not associated),-53,5
6E:DE:DB:D5:89:20,NA,(not associated),-47,5
6E:EC:0C:AA:7B:C4,NA,(not associated),-65,5
72:00:88:B6:C2:40,NA,(not associated),-45,5
72:0A:DB:A5:21:DA,NA,(not associated),-51,5
72:56:2A:2E:3B:E4,NA,(not associated),-59,5
72:BB:63:63:D9:C5,NA,(not associated),-51,5
72:BF:9E:56:F3:FB,NA,(not associated),-81,5
76:54:3E:F8:9A:D3,NA,(not associated),-61,5
76:B8:E0:89:83:50,NA,(not associated),-49,5
76:DB:1F:86:3E:26,NA,(not associated),-51,5
76:E0:7D:C9:07:D8,NA,(not associated),-63,5
7A:0B:BF:A4:D7:2D,NA,(not associated),-57,5
7A:13:F2:C6:F6:9B,NA,(not associated),-61,5
7A:1B:5D:C0:EB:4E,NA,(not associated),-55,5
7A:1B:E4:AE:11:00,NA,(not associated),-53,5
7A:51:76:19:D5:9D,NA,(not associated),-69,5
7A:73:E8:EA:D0:8F,NA,(not associated),-39,5
7A:95:7B:B6:08:FA,NA,(not associated),-59,5
7A:BB:73:B6:72:B8,NA,(not associated),-51,5
7A:C5:01:A9:78:8D,NA,(not associated),-59,5
7A:EC:20:F7:9F:03,NA,(not associated),-53,5
7A:F5:89:5D:C5:2A,NA,CE:B3:FF:84:45:FC,-83,5
7E:2C:FA:6C:77:26,NA,(not associated),-49,5
7E:5A:6E:9F:DC:15,NA,(not associated),-67,5
7E:66:3F:B2:69:2A,NA,(not associated),-53,5
7E:6A:66:49:0F:78,NA,(not associated),-53,5
7E:94:41:5C:4B:D1,NA,(not associated),-55,5
7E:EC:ED:3C:CB:10,NA,(not associated),-57,5
82:06:39:94:59:01,NA,(not associated),-65,5
82:1D:6F:C9:78:E1,NA,(not associated),-53,5
82:67:FC:AD:71:EC,NA,(not associated),-55,5
82:A4:A2:B2:64:08,NA,(not associated),-51,5
82:C2:EA:8F:BE:90,NA,(not associated),-59,5
82:C6:F9:D3:81:00,NA,(not associated),-51,5
82:D9:60:7F:31:1E,NA,(not associated),-55,5
82:F0:6A:C7:DA:25,NA,(not associated),-57,5
86:37:1C:6C:AA:66,NA,(not associated),-47,5
86:A9:1C:58:36:9B,NA,(not associated),-61,5
86:D0:37:7A:EC:BF,NA,(not associated),-49,5
8A:5D:D0:7F:DB:1F,NA,(not associated),-53,5
8A:90:A4:AA:17:61,NA,(not associated),-63,5
8A:C2:29:64:93:C6,NA,(not associated),-53,5
8A:D4:31:65:E0:D1,NA,(not associated),-51,5
8A:E5:2C:70:FA:69,NA,(not associated),-55,5
8A:F9:E7:BE:1A:70,NA,(not associated),-51,5
8A:FE:3D:93:EA:AB,NA,(not associated),-51,5
8C:55:4A:DF:0D:A4,Intel Corporate,(not associated),-69,5
8E:05:C1:C1:CE:F6,NA,(not associated),-55,5
8E:05:C7:8F:54:09,NA,(not associated),-47,5
8E:A6:65:5D:51:FB,NA,(not associated),-59,5
8E:B5:F4:13:91:32,NA,(not associated),-59,5
8E:C1:5E:57:C0:A1,NA,(not associated),-55,5
8E:F7:79:F2:8C:F8,NA,(not associated),-65,5
92:32:2B:F3:26:DD,NA,(not associated),-47,5
92:37:B5:D0:E4:59,NA,(not associated),-57,5
92:51:AD:2C:74:2A,NA,(not associated),-51,5
92:5D:AE:26:E2:B7,NA,(not associated),-53,5
92:73:FF:51:BA:3D,NA,(not associated),-51,5
92:AE:49:5A:B7:85,NA,(not associated),-55,5
92:EB:6B:AC:0C:F3,NA,(not associated),-57,5
92:F3:FC:85:BB:50,NA,(not associated),-59,5
96:23:33:D7:24:23,NA,(not associated),-53,5
96:64:81:EA:71:A4,NA,(not associated),-51,5
96:8B:E1:95:12:F1,NA,(not associated),-57,5
96:8D:D3:A4:0E:FE,NA,(not associated),-67,5
96:A4:40:1E:FA:2D,NA,(not associated),-51,5
96:E8:8F:04:84:BA,NA,(not associated),-63,5
9A:07:4B:97:EE:66,NA,(not associated),-61,5
9A:2C:C3:69:A2:86,NA,(not associated),-63,5
9A:77:1C:DF:05:53,NA,(not associated),-61,5
9A:B3:BB:B5:2C:30,NA,(not associated),-63,5
9A:ED:A7:13:0B:96,NA,(not associated),-53,5
9A:F1:9A:F7:A8:0B,NA,(not associated),-59,5
9E:23:13:4E:7D:44,NA,(not associated),-57,5
9E:36:B1:63:B5:59,NA,(not associated),-57,5
9E:4F:55:EA:6F:2D,NA,(not associated),-49,5
9E:75:26:12:75:C0,NA,(not associated),-59,5
9E:75:E7:B4:33:6F,NA,(not associated),-55,5
9E:AC:4C:C0:9A:E9,NA,(not associated),-57,5
9E:C2:6E:0A:0F:5E,NA,(not associated),-57,5
9E:C4:69:B2:B7:A3,NA,(not associated),-67,5
9E:D2:DC:37:09:75,NA,(not associated),-63,5
9E:FB:32:DC:22:71,NA,(not associated),-71,5
A2:12:24:C1:A6:AE,NA,(not associated),-59,5
A2:3C:13:C9:AB:2F,NA,(not associated),-55,5
A2:64:F2:54:67:B1,NA,(not associated),-61,5
A2:A6:19:58:4C:03,NA,(not associated),-63,5
A2:AA:4F:96:54:50,NA,(not associated),-55,5
A2:CE:E2:E0:EF:5D,NA,(not associated),-53,5
A2:F8:B6:64:8F:3D,NA,(not associated),-55,5
A4:02:B9:73:2F:76,Intel Corporate,(not associated),-73,5
A6:05:15:00:E1:E0,NA,(not associated),-57,5
A6:46:D8:FD:A7:99,NA,(not associated),-73,5
A6:50:5E:1F:AB:7A,NA,(not associated),-61,5
A6:CE:5F:AF:D2:79,NA,(not associated),-39,5
A6:FE:25:E2:06:EB,NA,(not associated),-61,5
AA:01:E4:E8:E2:BF,NA,(not associated),-55,5
AA:3B:72:59:AE:FB,NA,(not associated),-53,5
AA:47:80:A6:20:93,NA,(not associated),-43,5
AA:58:CE:38:86:1A,NA,(not associated),-63,5
AA:F2:CF:43:5F:1E,NA,(not associated),-67,5
AE:2C:29:83:9D:53,NA,(not associated),-55,5
AE:3D:A1:25:B0:3C,NA,(not associated),-61,5
AE:58:44:72:68:F6,NA,(not associated),-55,5
AE:9D:21:A7:73:74,NA,(not associated),-65,5
AE:B2:46:2A:D7:B3,NA,(not associated),-39,5
AE:BE:92:A7:F5:22,NA,(not associated),-63,5
AE:EE:4B:32:1D:D5,NA,(not associated),-55,5
B2:12:2A:9B:E4:63,NA,(not associated),-53,5
B2:20:FB:7C:4C:95,NA,(not associated),-51,5
B2:62:50:5F:FB:56,NA,(not associated),-69,5
B2:64:22:14:77:B1,NA,(not associated),-45,5
B6:31:AE:1D:09:4E,NA,(not associated),-61,5
B6:7C:31:57:DE:CF,NA,(not associated),-57,5
B6:A0:7D:60:7E:46,NA,(not associated),-47,5
B6:A3:8B:D3:ED:B0,NA,(not associated),-67,5
B6:B4:D5:ED:C3:41,NA,(not associated),-63,5
B6:BB:91:CD:48:23,NA,(not associated),-61,5
B6:C6:8B:22:DA:13,NA,(not associated),-57,5
B6:F4:36:36:8F:C0,NA,(not associated),-67,5
B6:F9:72:11:4D:6F,NA,(not associated),-65,5
BA:36:AA:39:BB:79,NA,(not associated),-55,5
BA:41:47:59:21:89,NA,(not associated),-59,5
BA:48:53:0B:85:0B,NA,(not associated),-51,5
BA:93:06:9E:E2:01,NA,(not associated),-61,5
BA:A0:98:16:AC:CA,NA,(not associated),-51,5
BA:C2:C7:9B:E8:C0,NA,(not associated),-57,5
BC:7A:BF:0A:78:5E,"Samsung Electronics Co.,Ltd",(not associated),-67,5
BE:13:24:27:FC:C3,NA,E8:28:C1:DC:C8:30,-1,5
BE:3D:A5:5F:15:55,NA,(not associated),-49,5
BE:79:3F:5D:C0:E3,NA,(not associated),-61,5
BE:98:BD:E9:BA:BA,NA,(not associated),-55,5
C2:46:5D:E5:D7:1A,NA,(not associated),-59,5
C2:4F:E2:9D:D7:EE,NA,(not associated),-47,5
C2:52:FF:B5:8E:09,NA,(not associated),-55,5
C2:57:14:19:DC:86,NA,(not associated),-47,5
C2:B8:10:B9:E6:55,NA,(not associated),-67,5
C2:DE:E7:3B:95:9C,NA,(not associated),-51,5
C6:0A:16:59:8D:EE,NA,(not associated),-51,5
C6:17:5C:B3:47:3D,NA,(not associated),-61,5
C6:7F:F1:B2:9B:B8,NA,(not associated),-61,5
C6:99:31:5D:43:90,NA,(not associated),-57,5
C6:9B:13:35:B3:5B,NA,(not associated),-51,5
C6:BD:74:BF:81:8A,NA,(not associated),-45,5
C6:C4:D9:BC:E6:A4,NA,(not associated),-51,5
